S#No,question,audio_notes,photo_thumbnail,video_thumbnail,is_multiple_choice_question,multiple_choice_options,is_sub1_question,sub1_question,sub1_audio_notes,is_sub1_multiple_choice_question,sub1_multiple_choice_options,is_sub2_question,sub2_question,sub2_audio_notes,is_sub2_multiple_choice_question,sub2_multiple_choice_options,upload_photo,upload_video,upload_audio
68.0,Is there any sound from Alternator Belt? ,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q68.mp3,No,No,Yes,"Yes,No",No,,,No,,No,,,No,,No,No,Yes
69.0,Is there Clicking Sound in the Fuel Injector? ,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q69.mp3,No,No,Yes,"Yes,No , Not Applicable ",No,,,No,,No,,,No,,No,No,Yes
72.0,Is Coolant fan working? ,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q72.mp3,No,No,Yes,"Yes,No",No,,,No,,No,,,No,,No,No,Yes
73.0,Please take Coolant Level Photo,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q73.mp3,Yes,No,No,,Yes,Is there any Coolant Leakage?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q73_SQ1.mp3,Yes,"Minor ,Major, No Leakage",Yes,Is Oil mixed with Coolant?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q73_SQ2.mp3,Yes,"Yes, No",Yes,No,Yes
74.0,Please take Engine Oil dipstick Photo.,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q74.mp3,Yes,No,No,,Yes,Engine Oil Condition?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q74_SQ1.mp3,Yes,"Good, Bad ,Average",No,,,No,,Yes,No,Yes
75.0,Please check if there is any engine oil leakage,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q75.mp3,No,No,Yes,"Yes,No",Yes,Leakage Type? ,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q75_SQ1.mp3,Yes,"Minor ,Major, No Leakage",No,,,No,,No,No,Yes
76.0,"If a leakage is found, take a clear photo of the leaking part or area",https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q76.mp3,Yes,No,No,,No,,,No,,No,,,No,,Yes,No,Yes
77.0,"Click Brake Oil Level Photo With Indicator L1, L2",https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q77.mp3,Yes,No,No,,Yes,Brake Oil Condition,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q77_SQ1.mp3,Yes,"Good,Bad",No,,,No,,Yes,No,Yes
80.0,Is there any leakage from the valve door?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q80.mp3,No,No,Yes,"Yes,No",Yes,Leakage Type? ,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q80_SQ1.mp3,Yes,"Minor ,Major, No Leakage",No,,,No,,No,No,Yes
81.0,If  any leakage from the valve door Take a photo of leakage Part/Area,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q81.mp3,Yes,No,Yes,"Major, Minor, Not Applicable",No,,,No,,No,,,No,,Yes,No,Yes
82.0,Is there any underbody rust present? ,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q82.mp3,No,No,Yes,"Yes,No",No,,,No,,No,,,No,,No,No,Yes
83.0,Pleae Click Exhaust Smoke Video- 30 Sec,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q83.mp3,No,Yes,No,,Yes,Exhaust Smoke analysis?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q83_SQ1.mp3,Yes,"Clear,Black,White, Blue",No,,,No,,No,Yes,Yes
,Transmission System Diagnosis,,,,,,,,,,,,,,,,,,
84.0,Please take 20 seconds video of Transmission Lever Movement with engine start,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q84.mp3,No,Yes,No,,Yes,Gear lever movement with Ignition on,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q84_SQ1.mp3,Yes,"Hard,Smooth,Delay ",Yes,Gear Box Sound while shifting ,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q84_SQ2.mp3,Yes,"Rough ,Normal",No,Yes,Yes
85.0,How is the clutch pedal movement?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q85.mp3,No,No,Yes,"Hard, Smooth, Not Applicable ",No,,,No,,No,,,No,,No,No,Yes
86.0,Is there any leakage near the transmission?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q86.mp3,No,No,Yes,"Yes,No",Yes,Leakage Type?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q86_SQ1.mp3,Yes,"Major, Minor, Not Applicable",No,,,No,,No,No,Yes
87.0,If yes Take a Photo of the Leakage Parts,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q87.mp3,Yes,No,No,,No,,,No,,No,,,No,,Yes,No,Yes
88.0,Is there any delay in gear shifting? ,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q88.mp3,No,No,Yes,"Yes,No",No,,,No,,No,,,No,,No,No,Yes
89.0,Is there any sound when the gear is in Parking or Neutral mode with the ignition ON? ,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q89.mp3,No,No,Yes,"Yes,No",No,,,No,,No,,,No,,No,No,Yes
90.0,"Click Transmission oil dipstick Photo , if Available",https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q90.mp3,Yes,No,No,,No,,,No,,No,,,No,,Yes,No,Yes
91.0,What is the condition of the transmission oil?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q91.mp3,No,No,Yes,"Good, Bad ,Average, Not Applicable",No,,,No,,No,,,No,,No,No,Yes
,Battery Helath Checkup,,,,,,,,,,,,,,,,,,
92.0,Please take Top view photo of Battery ,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q92.mp3,Yes,No,No,,Yes,Brand of Battery ,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q92_SQ1.mp3,Yes,"Amaron, Exide ,Livguard, Luminuous ,SF, Elito , Others",Yes,Is the battery in working Condition?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q92_SQ2.mp3,Yes,"Yes, No",Yes,No,Yes
93.0,Does the battery have terminal corrosion?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q93.mp3,No,No,Yes,"Yes,No",No,,,No,,No,,,No,,No,No,Yes
94.0,Is there any leakage in the battery?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q94.mp3,No,No,Yes,"Yes,No",No,,,No,,No,,,No,,No,No,Yes
96.0,What is the condition of the battery voltage supply? ,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q96.mp3,No,No,Yes,"Low ,Average, High",No,,,No,,No,,,No,,No,No,Yes
,Suspension & Brakes Inspection,,,,,,,,,,,,,,,,,,
97.0,Is there any suspension noise while driving?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q97.mp3,No,No,Yes,"Yes,No",No,,,No,,No,,,No,,No,No,Yes
98.0,What is the condition of the shock absorbers?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q98.mp3,No,No,Yes,"Working , Not Working",No,,,No,,No,,,No,,No,No,Yes
100.0,What is the condition of the balljoints?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q100.mp3,No,No,Yes,"Working , Not Working",No,,,No,,No,,,No,,No,No,Yes
101.0,What is the condition of the Bushes,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q101.mp3,No,No,Yes,"Working , Not Working",No,,,No,,No,,,No,,No,No,Yes
102.0,Please take a photo of the under chassis from the bottom of the vehicle,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q102.mp3,Yes,No,No,,Yes,Chassis Condition?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q102_SQ1.mp3,Yes,"Damage, Not Damage ,Repaired ,Good Condition",No,,,No,,Yes,No,Yes
103.0,What is the condition of the brake pads?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q103.mp3,No,No,Yes,"Good,Bad , Not Appliacble ",No,,,No,,No,,,No,,No,No,Yes
104.0,How is Brake Rotors/Discs Condition?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q104.mp3,No,No,Yes,"Good,Bad , Not Appliacble ",No,,,No,,No,,,No,,No,No,Yes
105.0,How is Brake Drums Condition? ,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q105.mp3,No,No,Yes,"Good,Bad , Not Appliacble ",No,,,No,,No,,,No,,No,No,Yes
108.0,How is Brake Pedal Movement? ,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q108.mp3,No,No,Yes,"Hard,Smooth",No,,,No,,No,,,No,,No,No,Yes
,Tires and Tools Inspection,,,,,,,,,,,,,,,,,,
109.0,Please Take Front Right Tyre Photo,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q109.mp3,Yes,No,No,,Yes,Choose Front Right Tyre Life Percentage?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q109_SQ1.mp3,Yes,"0-20 , 20-40, 40-60, 60-80, 80-100",No,,,No,,Yes,No,Yes
110.0,Please Take Rear Right Tyre Photo,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q110.mp3,Yes,No,No,,Yes,Choose Front Left Tyre Life Percentage?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q110_SQ1.mp3,Yes,"0-20 , 20-40, 40-60, 60-80, 80-100",No,,,No,,Yes,No,Yes
111.0,Please Take Front Left Tyre Photo,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q111.mp3,Yes,No,No,,Yes,Choose Rear Left Tyre Life Percentage?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q111_SQ1.mp3,Yes,"0-20 , 20-40, 40-60, 60-80, 80-100",No,,,No,,Yes,No,Yes
112.0,Please Take Rear Left Tyre Photo,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q112.mp3,Yes,No,No,,Yes,Choose Rear Right Tyre Life Percentage?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q112_SQ1.mp3,Yes,"0-20 , 20-40, 40-60, 60-80, 80-100",No,,,No,,Yes,No,Yes
113.0,Please Take Boot /Trunk Photo,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q113.mp3,Yes,No,No,,Yes,Boot / Dikey/Trunk Condition?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q113_SQ1.mp3,Yes,"Good, Damaged ,Stained",Yes,Tray Table Condition,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q113_SQ2.mp3,Yes,"Good, Damaged ,Stained",Yes,No,Yes
114.0,Please Take Stepneys Tyre Photo,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q114.mp3,Yes,No,No,,Yes,Choose Stepneys Tyre Life Percentage?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q114_SQ1.mp3,Yes,"0-20 , 20-40, 40-60, 60-80, 80-100",No,,,No,,Yes,No,Yes
115.0,"Please Take Spare tools (jack, lug wrench) Photo",https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q115.mp3,Yes,No,No,,Yes,"Spare tools (jack, lug wrench) Available ?",https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q115_SQ1.mp3,Yes,"Yes , No ,Not Applicable",No,,,No,,Yes,No,Yes
