S#No,question,audio_notes,photo_thumbnail,video_thumbnail,is_multiple_choice_question,multiple_choice_options,is_sub1_question,sub1_question,sub1_audio_notes,is_sub1_multiple_choice_question,sub1_multiple_choice_options,is_sub2_question,sub2_question,sub2_audio_notes,is_sub2_multiple_choice_question,sub2_multiple_choice_options,upload_photo,upload_video,upload_audio
10.0,Please take Rear Left Side Fender Photo,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q10.mp3,Yes,No,No,,Yes,Number of dent on Rear Left Side Fender?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q10_SQ1.mp3,Yes,"1-2 ,3-4 , 4+, No Dents",Yes,Number of Scratch on Rear Left Side Fender?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q10_SQ2.mp3,Yes,"1-2 ,3-4 , 4+, No Scratch",Yes,No,Yes
11.0,Please take Rear Left Side Door Photo,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q11.mp3,Yes,No,No,,Yes,Number of dent on Rear Left Side Door?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q11_SQ1.mp3,Yes,"1-2 ,3-4 , 4+, No Dents",Yes,Number of Scratch on Rear Left Side Door?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q11_SQ2.mp3,Yes,"1-2 ,3-4 , 4+, No Scratch",Yes,No,Yes
13.0,Please Click Passenger Side Door Photo.,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q13.mp3,Yes,No,No,,Yes,Number of Dent on Passenger Side Door,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q13_SQ1.mp3,Yes,"1-2 ,3-4 , 4+, No Dents",Yes,Number of Scratch on Passenger Side Door,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q13_SQ2.mp3,Yes,"1-2 ,3-4 , 4+, No Scratch",Yes,No,Yes
14.0,Please take Front Left Side Fender Photo.,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q14.mp3,Yes,No,No,,Yes,Number of dent on Front Left Side Fender .,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q14_SQ1.mp3,Yes,"1-2 ,3-4 , 4+, No Dents",Yes,Number of Scratch on Front Left Side Fender,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q14_SQ2.mp3,Yes,"1-2 ,3-4 , 4+, No Scratch",Yes,No,Yes
,Headlights and Indictaor Inspection,,,,,,,,,,,,,,,,,,
15.0,Please take Left Headlight Photo  ,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q15.mp3,Yes,No,No,,Yes,Left Headlight Bulb / LED Condition?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q15_SQ1.mp3,Yes,"Working , Not Working  ",Yes,Left Headlight Condition?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q15_SQ2.mp3,Yes,"Good , Crack , Damage",Yes,No,Yes
16.0,Please take Front Indicator Left Side Photo,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q16.mp3,Yes,No,No,,Yes,Front Indicator Bulb / LED Left Side Condition?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q16_SQ1.mp3,Yes,"Working , Not Working ",Yes,Front Indicator Left Side Condition?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q16_SQ2.mp3,Yes,"Good , Crack , Damage",Yes,No,Yes
17.0,Please take Fog Light Left Side Photo,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q17.mp3,Yes,No,No,,Yes,Fog Light Bulb / LED  Left Side Condition?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q17_SQ1.mp3,Yes,"Working , Not Working , Not  Applicable ",Yes,Fog Light Left Side Condition?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q17_SQ2.mp3,Yes,"Good , Crack , Damage",Yes,No,Yes
18.0,Please take Right Headlight Photo  ,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q18.mp3,Yes,No,No,,Yes,Right Headlight Bulb / LED Condition?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q18_SQ1.mp3,Yes,"Working , Not Working",Yes,Right Headlight Condition?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q18_SQ2.mp3,Yes,"Good , Crack , Damage",Yes,No,Yes
19.0,Please take Front Indicator Right Side Photo,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q19.mp3,Yes,No,No,,Yes,Front Indicator Bulb / LED  Right Side Condition?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q19_SQ1.mp3,Yes,"Working , Not Working",Yes,Front Indicator Right Side Condition?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q19_SQ2.mp3,Yes,"Good , Crack , Damage",Yes,No,Yes
